date,x,y,z,vx,vy,vz
A.D. 2022-Jan-01 00:00:00.0000,4.658081981597312,-1.794562404800887,-0.09676268523921197,0.002625200869694018,0.007404026105392089,-8.95011427766292e-05
A.D. 2022-Jan-02 00:00:00.0000,4.660701446467717,-1.787155881904257,-0.0968520623497413,0.002613292690371713,0.007408440753768659,-8.928058797595144e-05
A.D. 2022-Jan-03 00:00:00.0000,4.663309678527692,-1.779746117858156,-0.09694124950156746,0.002603540630018047,0.007411824877631474,-8.906064259304261e-05
A.D. 2022-Jan-04 00:00:00.0000,4.665907576368958,-1.772331783173395,-0.09703018071610021,0.002592215551932882,0.007416276475388319,-8.882257815129226e-05
A.D. 2022-Jan-05 00:00:00.0000,4.668494853771474,-1.764913188882745,-0.09711887030995514,0.002581891222144769,0.007421501032818731,-8.854278800526727e-05
A.D. 2022-Jan-06 00:00:00.0000,4.671070403040316,-1.757489624949277,-0.09720731128356497,0.002569772127049997,0.007425057901321599,-8.835039811029951e-05
A.D. 2022-Jan-07 00:00:00.0000,4.673635028899984,-1.750062244684304,-0.0972955303285087,0.002558859555391447,0.007429934866284559,-8.808838688372834e-05
A.D. 2022-Jan-08 00:00:00.0000,4.676188018317601,-1.742630725286357,-0.09738352459050385,0.002547779730400481,0.007433186643388472,-8.78876249143395e-05
A.D. 2022-Jan-09 00:00:00.0000,4.678730214893986,-1.735194990082142,-0.09747128091232812,0.002536034748562961,0.007437855307183533,-8.764945357896944e-05
A.D. 2022-Jan-10 00:00:00.0000,4.681260979039487,-1.727755856220227,-0.09755883902990053,0.002526028624947171,0.007441037978029145,-8.743519174532012e-05
A.D. 2022-Jan-11 00:00:00.0000,4.683781423901589,-1.720312218202952,-0.09764613773644829,0.00251464225772135,0.007445693702851267,-8.7184747738138e-05
A.D. 2022-Jan-12 00:00:00.0000,4.686291041535234,-1.712864344779917,-0.09773319245224714,0.002504310223427686,0.007450716493512049,-8.690562741015059e-05
A.D. 2022-Jan-13 00:00:00.0000,4.688788899406517,-1.705411382352463,-0.0978199880947728,0.002491802432964525,0.007454494816467931,-8.670468644694521e-05
A.D. 2022-Jan-14 00:00:00.0000,4.691275485640627,-1.697954743468457,-0.09790656552478104,0.002480836010280612,0.007459164772422183,-8.644404375405057e-05
A.D. 2022-Jan-15 00:00:00.0000,4.693750212301188,-1.690493980876396,-0.09799291478845812,0.002469280800023542,0.007462248215011702,-8.624879919551745e-05
A.D. 2022-Jan-16 00:00:00.0000,4.69621394548741,-1.683029321834128,-0.09807903273144826,0.002457528794364988,0.007466806561662334,-8.600690605436743e-05
A.D. 2022-Jan-17 00:00:00.0000,4.698665927340073,-1.675561414412457,-0.09816495530302688,0.002447124953569015,0.007469473547819738,-8.581007474397073e-05
A.D. 2022-Jan-18 00:00:00.0000,4.701107562816067,-1.668089472511501,-0.09825062853718966,0.002435784833610119,0.007473940054951156,-8.555834067796412e-05
A.D. 2022-Jan-19 00:00:00.0000,4.703538283049818,-1.660613649014592,-0.09833606422957025,0.00242557194926248,0.007478407173923803,-8.528965060067299e-05
A.D. 2022-Jan-20 00:00:00.0000,4.705957482737808,-1.653132943492656,-0.09842123721716918,0.002413040776988509,0.007482211206624235,-8.508114885529707e-05
A.D. 2022-Jan-21 00:00:00.0000,4.708365375879142,-1.645648842694837,-0.09850619590943384,0.002402345299654012,0.00748651517137662,-8.48229119709617e-05
A.D. 2022-Jan-22 00:00:00.0000,4.710761591795268,-1.638160684694699,-0.0985909193168849,0.002390701116159176,0.007489524266980953,-8.462482188464439e-05
A.D. 2022-Jan-23 00:00:00.0000,4.713146942771957,-1.630668853230347,-0.09867541064758573,0.00237930586575674,0.007494076712645699,-8.437119096716252e-05
A.D. 2022-Jan-24 00:00:00.0000,4.715520560199266,-1.623173672096223,-0.09875969673564136,0.002368712094893249,0.007496573659802477,-8.417785625324569e-05
