API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Saturn (699)                    {source: sat441l}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459580.500000000, A.D. 2022-Jan-01 00:00:00.0000,  6.960077386083067E+00, -7.066617015693108E+00, -1.541257342275609E-01,  3.667985969670998E-03,  3.910427794415976E-03, -2.140948924342175E-04,
2459581.500000000, A.D. 2022-Jan-02 00:00:00.0000,  6.963744222228920E+00, -7.062705401684402E+00, -1.543398539234315E-01,  3.665679775834859E-03,  3.912788724557599E-03, -2.141377835690638E-04,
2459582.500000000, A.D. 2022-Jan-03 00:00:00.0000,  6.967408710598843E+00, -7.058791450857226E+00, -1.545540002288537E-01,  3.663274612932282E-03,  3.915089798300160E-03, -2.141408973787326E-04,
2459583.500000000, A.D. 2022-Jan-04 00:00:00.0000,  6.971070777027768E+00, -7.054875281670051E+00, -1.547681052563412E-01,  3.660879017968376E-03,  3.917235970280734E-03, -2.140645784954423E-04,
2459584.500000000, A.D. 2022-Jan-05 00:00:00.0000,  6.974730478393537E+00, -7.050956980187757E+00, -1.549821302954486E-01,  3.658514376922356E-03,  3.919362761212927E-03, -2.139828021120192E-04,
2459585.500000000, A.D. 2022-Jan-06 00:00:00.0000,  6.978387795702449E+00, -7.047036594312869E+00, -1.551960501785064E-01,  3.656132402565363E-03,  3.921388846894323E-03, -2.138477688850373E-04,
2459586.500000000, A.D. 2022-Jan-07 00:00:00.0000,  6.982042765703567E+00, -7.043114229120002E+00, -1.554098148561509E-01,  3.653818340630595E-03,  3.923325015306811E-03, -2.136743372039440E-04,
2459587.500000000, A.D. 2022-Jan-08 00:00:00.0000,  6.985695483054143E+00, -7.039189970022919E+00, -1.556233903368495E-01,  3.651639729604729E-03,  3.925197613727329E-03, -2.134813419979920E-04,
2459588.500000000, A.D. 2022-Jan-09 00:00:00.0000,  6.989346072383056E+00, -7.035263837484099E+00, -1.558367788580296E-01,  3.649561949846343E-03,  3.927060434316174E-03, -2.132944205027578E-04,
2459589.500000000, A.D. 2022-Jan-10 00:00:00.0000,  6.992994670260494E+00, -7.031335833512143E+00, -1.560499934003909E-01,  3.647653242812297E-03,  3.928973449729979E-03, -2.131502867011643E-04,
