API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun Apr  5 18:55:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Dec-31 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459605.500000000, A.D. 2022-Jan-26 00:00:00.0000, -2.452792061630403E-01,  2.260046510211597E-01,  4.096742601086265E-02, -2.478225014806273E-02, -1.954883811568855E-02,  6.757053200799545E-04,
2459606.500000000, A.D. 2022-Jan-27 00:00:00.0000, -2.690884290958477E-01,  2.056130844839733E-01,  4.148501168825627E-02, -2.282085902232293E-02, -2.119585752713503E-02,  3.612002830145240E-04,
2459607.500000000, A.D. 2022-Jan-28 00:00:00.0000, -2.908951567689780E-01,  1.836891734778781E-01,  4.169369300248744E-02, -2.078206194441465E-02, -2.261428885339542E-02,  5.827484678699136E-05,
2459608.500000000, A.D. 2022-Jan-29 00:00:00.0000, -3.106358588111030E-01,  1.604586472890991E-01,  4.160608871524901E-02, -1.869307161142111E-02, -2.381039115804273E-02, -2.310863067188594E-04,
2459609.500000000, A.D. 2022-Jan-30 00:00:00.0000, -3.282725776396432E-01,  1.361395064634550E-01,  4.123653174527998E-02, -1.657780327509235E-02, -2.479321168119565E-02, -5.054288085436094E-04,
2459610.500000000, A.D. 2022-Jan-31 00:00:00.0000, -3.437896095835200E-01,  1.109396690580469E-01,  4.060057238989450E-02, -1.445686138245552E-02, -2.557373686065127E-02, -7.637604516674013E-04,
2459611.500000000, A.D. 2022-Feb-01 00:00:00.0000, -3.571902517167074E-01,  8.505540333369160E-02,  3.971455184011817E-02, -1.234767514590630E-02, -2.616417073439225E-02, -1.005479788047117E-03,
2459612.500000000, A.D. 2022-Feb-02 00:00:00.0000, -3.684937370212567E-01,  5.867041528701348E-02,  3.859524648313169E-02, -1.026473183110031E-02, -2.657734666731774E-02, -1.230306656900830E-03,
2459613.500000000, A.D. 2022-Feb-03 00:00:00.0000, -3.777324338369153E-01,  3.195546001274813E-02,  3.725957925382075E-02, -8.219865898358412E-03, -2.682626620056807E-02, -1.438217977684957E-03,
2459614.500000000, A.D. 2022-Feb-04 00:00:00.0000, -3.849493486612995E-01,  5.068356023404747E-03,  3.572439174132737E-02, -6.222572031541380E-03, -2.692375169203767E-02, -1.629390650641456E-03,
2459615.500000000, A.D. 2022-Feb-05 00:00:00.0000, -3.901959440547547E-01, -2.184570309392370E-02,  3.400626949773462E-02, -4.280319196775408E-03, -2.688219610859248E-02, -1.804152301941267E-03,
2459616.500000000, A.D. 2022-Feb-06 00:00:00.0000, -3.935302645108412E-01, -4.865362815446982E-02,  3.212141266432229E-02, -2.398850533920506E-03, -2.671339265998713E-02, -1.962939852937545E-03,
2459617.500000000, A.D. 2022-Feb-07 00:00:00.0000, -3.950153511031074E-01, -7.523377652971189E-02,  3.008554430873522E-02, -5.824599054688267E-04, -2.642842793156266E-02, -2.106265419671391E-03,
2459618.500000000, A.D. 2022-Feb-08 00:00:00.0000, -3.947179188997570E-01, -1.014752130539951E-01,  2.791384950488051E-02,  1.165759602398542E-03, -2.603762401972200E-02, -2.234688789649202E-03,
2459619.500000000, A.D. 2022-Feb-09 00:00:00.0000, -3.927072681030884E-01, -1.272769323511585E-01,  2.562093900471540E-02,  2.843696790249344E-03, -2.555051737558208E-02, -2.348795614618739E-03,
